,LSOA,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6
0,Brighton and Hove 027E,773.93,527.69,444.29,491.85,607.54,554.91
1,Brighton and Hove 027F,757.39,499.11,517.57,561.07,578.97,538.37
2,Brighton and Hove 027A,763.24,601.38,517.98,410.4,681.23,557.35
3,Brighton and Hove 029E,743.62,651.72,660.36,379.72,731.58,557.58
4,Brighton and Hove 029D,665.85,664.65,658.2,313.0,744.5,570.51
5,Brighton and Hove 024C,668.22,543.35,561.81,336.63,623.21,449.21
6,Brighton and Hove 027B,718.65,593.78,612.23,400.11,673.63,499.63
7,Brighton and Hove 024B,658.72,533.85,552.3,359.53,613.7,439.7
8,Brighton and Hove 027G,712.52,454.24,472.7,529.58,534.09,493.5
9,Brighton and Hove 024E,684.45,559.08,577.53,414.52,638.93,465.43
10,Brighton and Hove 024D,665.72,484.17,502.62,405.08,564.02,446.71
11,Brighton and Hove 027C,708.62,359.21,329.04,525.68,439.06,489.6
12,Brighton and Hove 015E,760.39,298.2,344.09,577.45,378.06,541.37
13,Brighton and Hove 014E,714.01,341.9,393.84,531.07,421.75,494.99
14,Brighton and Hove 024A,550.43,421.49,439.94,380.98,501.34,331.42
15,Brighton and Hove 003C,501.42,502.45,784.37,687.22,438.14,282.4
16,Brighton and Hove 003D,400.42,582.48,855.67,586.22,393.96,181.41
17,Brighton and Hove 003E,467.72,411.6,684.79,627.29,347.29,248.71
18,Brighton and Hove 011D,458.76,454.73,607.03,463.01,452.3,239.75
19,Brighton and Hove 014D,596.97,445.7,464.15,427.52,525.55,377.96
20,Brighton and Hove 014C,574.36,435.0,534.24,454.83,508.6,355.35
21,Brighton and Hove 014A,779.28,228.78,341.99,639.15,308.64,570.95
22,Brighton and Hove 010C,731.98,181.49,382.14,663.13,261.35,523.66
23,Brighton and Hove 014B,739.23,238.53,412.75,594.89,318.39,520.22
24,Brighton and Hove 010E,690.39,205.64,409.39,621.03,284.81,471.37
25,Brighton and Hove 010D,676.27,125.78,378.2,697.22,205.63,467.94
26,Brighton and Hove 004D,685.25,286.75,490.51,647.58,244.97,472.16
27,Brighton and Hove 011C,651.54,260.23,463.99,584.51,259.52,434.85
28,Brighton and Hove 011E,549.89,365.58,569.34,482.18,377.01,330.87
29,Brighton and Hove 011B,584.61,425.52,630.6,673.28,361.22,371.52
30,Brighton and Hove 004C,650.02,279.65,552.64,709.71,215.34,436.92
31,Brighton and Hove 008C,899.76,349.27,377.55,828.0,429.12,691.43
32,Brighton and Hove 008B,814.99,221.25,497.48,879.59,344.35,606.67
33,Brighton and Hove 008D,795.31,244.82,297.11,723.55,324.67,586.99
34,Brighton and Hove 010A,771.54,183.47,364.63,752.39,300.9,563.22
35,Brighton and Hove 010B,696.6,15.24,366.82,697.51,225.96,488.27
36,Brighton and Hove 008A,864.34,482.89,362.32,899.45,427.34,656.02
37,Brighton and Hove 004A,610.86,341.18,625.58,796.65,241.35,402.53
38,Brighton and Hove 004B,661.06,268.79,553.19,787.16,204.48,452.73
39,Brighton and Hove 001B,567.25,480.02,764.42,753.05,268.94,358.93
40,Brighton and Hove 001D,588.33,330.32,614.72,774.12,266.02,380.0
41,Brighton and Hove 001A,501.21,420.14,704.53,687.01,355.83,292.89
42,Brighton and Hove 001E,622.69,541.61,826.01,808.48,477.3,414.36
43,Brighton and Hove 001C,539.68,397.11,681.51,725.47,241.37,331.35
44,Brighton and Hove 003A,479.99,360.08,644.48,665.78,295.78,271.66
45,Brighton and Hove 003B,419.0,476.96,761.36,604.8,338.02,210.68
46,Brighton and Hove 002A,606.84,428.52,654.4,792.64,169.84,398.51
47,Brighton and Hove 002D,814.89,636.57,533.42,1000.68,377.89,606.56
48,Brighton and Hove 002B,917.04,898.51,776.29,1102.84,639.83,708.72
49,Brighton and Hove 031D,1073.73,643.56,186.57,771.84,723.41,865.41
50,Brighton and Hove 025D,1015.36,585.18,128.2,884.85,665.03,807.03
51,Brighton and Hove 030E,957.38,595.52,275.51,634.3,675.37,738.36
52,Brighton and Hove 031E,973.13,715.03,324.4,620.28,794.88,815.89
53,Brighton and Hove 031A,1040.77,763.39,325.73,687.92,843.24,866.2
54,Brighton and Hove 031B,1038.4,737.65,321.12,685.55,817.5,840.45
55,Brighton and Hove 031C,987.26,665.44,295.36,636.97,745.29,768.24
56,Brighton and Hove 030B,930.42,663.71,343.7,577.58,743.56,766.52
57,Brighton and Hove 030A,938.1,618.65,349.47,619.23,698.51,719.08
58,Brighton and Hove 022A,923.77,418.86,192.17,740.83,498.71,704.75
59,Brighton and Hove 022B,892.11,416.14,174.33,709.17,495.99,673.09
60,Brighton and Hove 018A,956.67,486.44,107.37,773.73,566.29,737.65
61,Brighton and Hove 015B,816.96,324.03,310.59,634.03,403.89,597.95
62,Brighton and Hove 015D,902.6,358.89,274.74,719.67,438.74,683.59
63,Brighton and Hove 015A,919.55,369.06,301.29,747.33,448.91,711.22
64,Brighton and Hove 015C,835.18,284.69,362.49,689.4,364.54,626.85
65,Brighton and Hove 008E,1133.56,583.07,374.62,999.64,662.92,925.24
66,Brighton and Hove 018D,1012.88,467.32,177.67,883.88,547.17,804.55
67,Brighton and Hove 009D,1097.78,552.21,262.57,968.78,632.07,889.45
68,Brighton and Hove 018C,921.0,370.51,199.58,787.07,450.36,712.67
69,Brighton and Hove 009E,1271.79,907.16,786.59,1323.72,834.79,1063.46
70,Brighton and Hove 009A,1344.19,979.56,858.99,1396.13,907.19,1135.86
71,Brighton and Hove 002C,876.45,698.13,627.92,1062.24,439.45,668.12
72,Brighton and Hove 009C,905.34,706.49,585.92,1091.14,468.35,697.02
73,Brighton and Hove 009B,864.83,611.03,490.46,1027.59,427.83,656.5
74,Brighton and Hove 032A,1096.67,778.1,330.61,743.82,857.96,880.91
75,Brighton and Hove 025E,1089.84,716.3,259.31,950.43,796.15,881.51
76,Brighton and Hove 032B,1047.73,678.28,244.35,828.77,758.14,839.41
77,Brighton and Hove 025B,1086.6,717.15,283.22,1096.64,797.0,878.27
78,Brighton and Hove 025C,1041.32,671.88,237.95,985.26,751.73,833.0
79,Brighton and Hove 025A,1083.9,714.46,280.53,1106.63,794.31,875.58
80,Brighton and Hove 032D,1048.79,679.35,245.42,779.63,759.2,840.47
81,Brighton and Hove 032C,1089.23,719.78,285.85,853.28,799.63,880.9
82,Brighton and Hove 017B,803.11,633.68,199.75,988.91,525.9,594.79
83,Brighton and Hove 017F,899.92,814.8,380.87,1085.71,622.71,691.59
84,Brighton and Hove 017A,755.95,679.9,245.97,941.74,478.74,547.62
85,Brighton and Hove 017C,921.8,836.68,402.76,1107.59,644.59,713.47
86,Brighton and Hove 017E,1033.79,959.15,525.22,1219.58,756.58,825.46
87,Brighton and Hove 017D,813.82,737.77,303.84,999.61,536.61,605.49
88,Brighton and Hove 033F,1097.93,979.72,545.79,1272.17,820.72,889.61
89,Brighton and Hove 033C,1191.12,1100.79,666.86,1274.69,913.91,982.79
90,Brighton and Hove 033D,1105.23,1020.11,586.18,1206.97,828.02,896.9
91,Brighton and Hove 033B,1435.38,1290.85,856.92,1464.76,1158.17,1227.06
92,Brighton and Hove 033E,1335.05,1190.52,756.59,1364.42,1057.84,1126.72
93,Brighton and Hove 033A,1579.79,1435.26,1001.33,1609.16,1302.58,1371.46
94,Brighton and Hove 030C,836.7,482.16,312.21,650.94,562.01,617.68
95,Brighton and Hove 030D,959.56,549.3,239.84,711.26,629.16,740.55
96,Brighton and Hove 022C,847.53,402.08,267.55,664.59,481.93,628.52
97,Brighton and Hove 022D,915.78,461.02,228.05,732.84,540.87,696.77
98,Brighton and Hove 022E,917.27,471.81,224.0,734.33,551.66,698.25
99,Brighton and Hove 018B,917.04,462.27,172.41,734.1,542.13,698.03
100,Brighton and Hove 018E,1038.37,583.6,166.21,821.83,663.46,819.35
101,Brighton and Hove 025F,1011.92,571.8,124.76,843.63,651.65,803.59
102,Brighton and Hove 029A,647.25,710.94,697.43,294.4,790.79,616.8
103,Brighton and Hove 019D,392.69,739.27,757.72,119.32,640.02,447.04
104,Brighton and Hove 029C,634.24,635.78,654.23,270.34,715.63,541.63
105,Brighton and Hove 029B,621.12,695.36,713.81,268.27,775.21,601.21
106,Brighton and Hove 026B,619.99,673.96,692.41,256.09,753.81,579.81
107,Brighton and Hove 020E,689.16,634.72,653.17,325.26,714.57,540.57
108,Brighton and Hove 020D,623.22,517.96,536.41,283.6,597.11,419.38
109,Brighton and Hove 026A,585.38,761.97,743.91,232.53,832.71,639.73
110,Brighton and Hove 028C,561.33,809.48,827.93,197.43,808.66,611.4
111,Brighton and Hove 028B,507.42,829.7,842.49,143.52,754.75,561.77
112,Brighton and Hove 028A,483.83,855.22,837.16,130.99,731.16,538.18
113,Brighton and Hove 026D,484.3,791.84,810.29,120.4,731.63,538.66
114,Brighton and Hove 026C,575.07,725.99,744.44,211.17,788.23,609.58
115,Brighton and Hove 020B,554.03,610.99,629.45,214.41,670.0,492.27
116,Brighton and Hove 026E,517.93,751.48,769.93,154.03,764.99,552.44
117,Brighton and Hove 019B,491.12,661.74,680.2,127.21,675.25,462.7
118,Brighton and Hove 019C,367.52,774.79,793.24,85.08,614.85,421.88
119,Brighton and Hove 019A,391.9,778.12,796.57,28.0,639.23,446.25
120,Brighton and Hove 028D,436.07,883.76,893.92,98.26,696.09,503.11
121,Brighton and Hove 023B,419.12,908.6,915.04,123.27,703.88,525.64
122,Brighton and Hove 023D,390.18,933.62,957.05,154.93,674.94,496.7
123,Brighton and Hove 021C,339.65,883.09,986.25,186.13,624.41,446.17
124,Brighton and Hove 016C,386.14,821.14,839.59,100.26,633.47,440.49
125,Brighton and Hove 028E,422.36,855.39,873.84,69.51,669.69,476.71
126,Brighton and Hove 016B,371.55,806.55,825.01,103.32,618.88,425.91
127,Brighton and Hove 016D,423.58,901.71,920.16,152.62,708.34,521.06
128,Brighton and Hove 023C,340.23,883.67,914.84,147.3,624.99,446.75
129,Brighton and Hove 023A,384.12,853.98,872.43,104.89,666.31,473.33
130,Brighton and Hove 021E,289.72,833.16,955.98,188.44,574.48,396.24
131,Brighton and Hove 020C,572.31,494.16,512.61,314.69,548.38,370.64
132,Brighton and Hove 020A,524.89,554.64,573.09,246.54,608.85,431.12
133,Brighton and Hove 019E,417.46,608.24,626.7,206.66,611.41,398.86
134,Brighton and Hove 011A,501.69,513.04,629.52,335.96,495.22,282.67
135,Brighton and Hove 007C,348.5,600.71,757.34,410.78,342.03,129.48
136,Brighton and Hove 007D,393.79,557.77,694.68,380.77,432.76,220.21
137,Brighton and Hove 007B,240.11,657.72,881.13,362.76,399.04,206.07
138,Brighton and Hove 007A,234.32,740.33,791.8,156.1,481.65,288.68
139,Brighton and Hove 013C,283.38,826.82,1024.55,278.09,568.14,389.9
140,Brighton and Hove 016A,310.29,830.41,848.86,213.15,619.48,426.51
141,Brighton and Hove 013B,193.07,840.52,1021.15,355.18,581.84,403.6
142,Brighton and Hove 013E,114.33,757.21,913.52,277.81,498.53,305.56
143,Brighton and Hove 013A,244.12,914.08,1021.39,385.68,655.41,462.43
144,Brighton and Hove 007E,216.23,633.84,857.25,311.98,375.16,182.18
145,Brighton and Hove 006B,152.21,858.66,1082.07,479.67,599.98,407.0
146,Brighton and Hove 006C,165.24,708.48,931.89,457.99,449.8,256.82
147,Brighton and Hove 006D,212.43,701.94,925.35,451.45,443.26,250.28
148,Brighton and Hove 013D,37.18,743.63,967.04,404.38,484.95,291.97
149,Brighton and Hove 006A,171.44,836.67,1060.08,498.9,577.99,385.01
150,Brighton and Hove 006E,120.27,798.58,1021.99,482.98,539.9,346.92
151,Brighton and Hove 021D,339.9,883.34,1060.61,264.09,624.66,446.42
152,Brighton and Hove 021A,392.74,936.18,1130.81,334.28,677.5,499.26
153,Brighton and Hove 021B,449.8,936.03,1159.44,433.2,677.35,499.1
154,Brighton and Hove 012E,304.74,781.08,1004.49,330.15,522.4,344.16
155,Brighton and Hove 013F,324.06,800.4,1023.81,423.66,541.72,363.48
156,Brighton and Hove 012D,437.17,757.79,981.2,536.78,499.11,320.87
157,Brighton and Hove 005D,353.7,668.73,892.14,453.3,410.05,231.81
158,Brighton and Hove 005E,537.99,950.84,1174.26,610.61,692.17,513.92
159,Brighton and Hove 012C,300.04,776.39,999.8,372.66,517.71,339.46
160,Brighton and Hove 012A,446.54,884.7,1108.11,519.16,626.02,447.78
161,Brighton and Hove 005C,469.8,784.83,1008.24,569.4,526.15,347.91
162,Brighton and Hove 012B,464.53,909.18,1132.6,537.15,650.51,472.26
163,Brighton and Hove 005A,567.49,882.52,1105.93,664.11,623.84,445.6
164,Brighton and Hove 005B,495.5,810.53,1033.94,595.1,551.85,373.61
